_id,timestamp,predator,ip_pred,prey,ip_prey
5faab6bba6699e44d3c31fbf,1605023419.2640522,usa,137.255.106.20,usa,17.66.23.118
5faab6bba6699e44d3c31fc0,1605023419.303699,usa,137.255.106.20,usa,17.66.23.118
5faab6bba6699e44d3c31fc1,1605023419.3306155,usa,137.255.106.20,usa,17.66.23.118
5faab6bba6699e44d3c31fc2,1605023419.3523202,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc3,1605023419.3632605,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc4,1605023419.3724358,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc5,1605023419.3823893,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc6,1605023419.3910868,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc7,1605023419.4000335,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc8,1605023419.4096406,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fc9,1605023419.4192371,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fca,1605023419.4281356,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fcb,1605023419.4364314,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fcc,1605023419.4515345,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fcd,1605023419.4593751,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fce,1605023419.4672666,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fcf,1605023419.476312,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd0,1605023419.4857674,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd1,1605023419.493976,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd2,1605023419.5019016,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd3,1605023419.5097659,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd4,1605023419.5169365,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd5,1605023419.524395,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd6,1605023419.5315573,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd7,1605023419.539147,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd8,1605023419.5460808,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fd9,1605023419.5538938,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fda,1605023419.5611007,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fdb,1605023419.5690522,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fdc,1605023419.5762491,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fdd,1605023419.583321,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fde,1605023419.5907629,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fdf,1605023419.5979228,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fe0,1605023419.604886,cri,52.74.138.196,usa,236.158.131.11
5faab6bba6699e44d3c31fe1,1605023419.611735,cri,52.74.138.196,usa,236.158.131.11
